Agency Network,Agency,Agency Domain,Fossil Fuel Company
INDEPENDENT,M&C Saatchi (Connect and M&C Saatchi Abel),https://www.mcsaatchiabel.co.za/,Chevron (Astron Energy)
INDEPENDENT,M&C Saatchi (M&C Saatchi Melbourne),https://www.mcsaatchi.com.au/,Origin Energy
OMNICOM,Marketforce,http://www.marketforce.com,Alinta Energy
OMNICOM,Martin Williams,http://www.martinwilliams.com,ExxonMobil
INDEPENDENT,Masket Communications,http://www.masketcommunications.com,Engie
Interpublic Group,McCann Worldgroup,http://www.mccannworldgroup.com,Saudi Aramco
Interpublic Group,McCann Worldgroup (McCann Canada),https://mccann.ca/,Petro-Canada
Interpublic Group,McCann Worldgroup (McCann Enterprise),https://www.mccannenterprise.com/about/,Equinor
Interpublic Group,McCann Worldgroup (McCann Santiago),https://www.mccann.cl/,Copec
Interpublic Group,McCann Worldgroup (Mercado McCann),https://www.mccannworldgroup.com/contact,YPF
Interpublic Group,McCann Worldgroup (MRM Brazil),https://www.mrmbrasil.com.br/,BR Distribuidora
INDEPENDENT,Mearns & Gill,http://www.mearns-gill.com,Equinor
WPP,MediaCom,http://www.essencemediacom.com,British Gas (Centrica)
INDEPENDENT,MediaMix360,http://www.mediamix360.com,Eskom
INDEPENDENT,Mediate,http://www.mediaite.com,Pertamina
INDEPENDENT,Metropolis Media,https://metropolismedia.co.in/,"SEAOIL Philippines, Inc."
INDEPENDENT,MFIELD,http://www.mfield.com,Ipiranga
INDEPENDENT,Michelson Alexander,http://www.michelsonalexander.com.au,Australian Gas Infrastructure Group
INDEPENDENT,Mieux,http://www.lemieuxskincare.com,TotalEnergies
INDEPENDENT,Milner Strategic Services,https://www.milnerltd.com/,Bowen Coking Coal
WPP,Mindshare,http://www.mindshareworld.com,BP
INDEPENDENT,Moving Walls,http://www.movingwalls.com,"SEAOIL Philippines, Inc."
INDEPENDENT,MSC Sports and Entertainment,https://mscsports.co.za/,Engen
INDEPENDENT,MSQ,http://www.msqpartners.com,Shell
INDEPENDENT,Mutabor (Rene Bieder),https://www.renebieder.com/commissions/helleniq,Helleniq
WPP,Mutato,http://www.mutato.com,Ipiranga
INDEPENDENT,Narrativ (Narrativ Oslo),https://www.narrativoslo.no/,Equinor
INDEPENDENT,Nation Comm,https://www.thenation.com/,Petronas
INDEPENDENT,Next Generation Solution,http://www.nextgenerationnc.com,MND
INDEPENDENT,Nexus APAC,http://www.nexusapac.com.au,Glencore
INDEPENDENT,Ninch,http://www.ninch.org,YPF
INDEPENDENT,Northstar Public Affairs,https://northstarpa.ca/,"Ampol, Idemitsu"
INDEPENDENT,Nove,http://www.novesolutions.com,"BP, Equinor, ExxonMobil, Eni, Gas Infrastructure Europe, International Association of Oil & Gas Producers, Natural & Bio Gas Vehicle Association (NGVA Europe), TotalEnergies"
INDEPENDENT,Nunn Media,http://www.nunnmedia.com.au,Minerals Council of Australia (MCA)
INDEPENDENT,Odd by Dsgn (The Odd Number),https://www.theoddnumber.co.za/,TotalEnergies
INDEPENDENT,Oficina de Arte,http://www.oficinadearte.com,GALP
WPP,Ogilvy,http://www.ogilvy.com,BP Castrol
WPP,Ogilvy (Ogilvy Brasil),https://www.ogilvy.com.br/," Enel, Petrobras "
WPP,Ogilvy (Ogilvy PR),https://www.ogilvy.com/,American Petroleum Institute
WPP,Ogilvy (Ogilvy South Africa),https://www.ogilvy.co.za/,Africa Oil Week
WPP,Ogilvy (Ogilvy Thailand),https://www.ogilvyasia.com/tag/ogilvy-thailand/,PTT
OMNICOM,OMD,http://www.omd.com,"BHP, British Gas (Centrica), Chevron, Petro-Canada (concluded 2023)"
INDEPENDENT,Omniscient,https://beomniscient.com/,TotalEnergies
INDEPENDENT,Peppery,https://peppery.com.br/,Copa Energia
